DATE,Log_Return
2021-12-30,0.0053800764
2021-12-31,0.011103806
2022-01-01,0.00017909994
2022-01-02,0.03274935
2022-01-03,0.004778779
2022-01-04,-0.006742249
2022-01-05,0.015652498
2022-01-06,0.00026793464
2022-01-07,0.0030731955
2022-01-08,0.005666733
2022-01-09,-0.0039611245
2022-01-10,0.00030965515
2022-01-11,0.015997255
2022-01-12,0.014080902
2022-01-13,0.009497395
2022-01-14,0.010673944
2022-01-15,-0.00041718627
2022-01-16,0.010874139
2022-01-17,0.00092125736
2022-01-18,-0.01578348
2022-01-19,-0.004243332
2022-01-20,0.0028529845
2022-01-21,-0.0029010426
2022-01-22,0.0113342125
2022-01-23,-0.010149214
2022-01-24,0.001463244
2022-01-25,0.008289254
2022-01-26,0.0015942577
2022-01-27,0.008249432
2022-01-28,-0.0068414407
2022-01-29,0.0059531224
2022-01-30,-0.009435175
2022-01-31,0.0023847967
2022-02-01,0.0055372743
2022-02-02,-0.008538871
2022-02-03,-0.0024257363
2022-02-04,0.0004780106
2022-02-05,-0.005773517
2022-02-06,-0.0051690163
2022-02-07,0.01475663
2022-02-08,-0.011709535
2022-02-09,0.0035648611
2022-02-10,-0.005318805
2022-02-11,-0.0074130995
2022-02-12,0.00042153551
2022-02-13,0.0023002482
2022-02-14,0.007460181
2022-02-15,-0.003921411
